,id,name,url,language,created,stars,watch,forks,commit
94,669112957,openai-functools,https://github.com/Jakob-98/openai-functools,Python,2023-07-21T11:21:57Z,21,21,2,5f6b7cb152b03029c787c01f809d4522ae9c6f68
157,670734919,mentat,https://github.com/biobootloader/mentat,Python,2023-07-25T18:00:13Z,1606,1606,146,3c4db32fcc83c66fb2a886d8f0d94b3c53d27c3c
440,673368307,cai-causal-graph,https://github.com/causalens/cai-causal-graph,Python,2023-08-01T13:22:03Z,16,16,0,b26d1fb4feecc679dc6186c1cd95f756c3f26767
486,674153903,modelscope-agent,https://github.com/modelscope/modelscope-agent,Python,2023-08-03T09:06:03Z,405,405,35,35c34f4208bbe7373f8a69dd6e4e2c7524bfd42a
489,673969898,agentflow,https://github.com/simonmesmith/agentflow,Python,2023-08-02T20:57:16Z,226,226,14,19759304ea9802fec8a4351a94aa4a6fb8fb156a
663,676844841,sql-eval,https://github.com/defog-ai/sql-eval,Python,2023-08-10T06:29:17Z,77,77,5,d9389e579a76d0f556bc4349fdd1863acd1e60a7
670,675475442,wyvern,https://github.com/Wyvern-AI/wyvern,Python,2023-08-07T02:36:38Z,56,56,3,99571b8331b22f6d9bec1663c573b681f859ca29
677,676748147,tinytimmy,https://github.com/danielbeach/tinytimmy,Python,2023-08-09T23:26:57Z,40,40,7,d93178fbf6f41cf883b383a55063331e0e530405
765,675672573,stablefused,https://github.com/a-r-r-o-w/stablefused,Python,2023-08-07T13:09:15Z,12,12,2,1af8caa94b7fcea1373d4414167d1f8f25b813ec
776,676672661,permchain,https://github.com/langchain-ai/permchain,Python,2023-08-09T18:33:12Z,11,11,1,bd8260760d7006620247c28ee9c2264a21ab7cd6
839,677148504,beholder,https://github.com/NullPyDev/beholder,Python,2023-08-10T21:32:05Z,21,21,1,d2fe1ddaec90ce5ac57564204ce25d703861e7a1
886,678765868,opencopilot,https://github.com/opencopilotdev/opencopilot,Python,2023-08-15T10:23:30Z,436,436,17,80a0a32e215849105d79e1d7210e27a9f178ddc0
894,679017521,agentops,https://github.com/AgentOps-AI/agentops,Python,2023-08-15T23:26:23Z,99,99,0,9907140093b1445e12245f0779b0cc412ccdf8c2
895,679935858,ActionWeaver,https://github.com/TengHu/ActionWeaver,Python,2023-08-18T00:57:39Z,98,98,4,70b1a32233fef26c98724a4044bb2852dd2d8dd6
937,679904662,doc-comments.ai,https://github.com/fynnfluegge/doc-comments.ai,Python,2023-08-17T22:21:55Z,25,25,3,1961987f73b00cc5f6abcd5b65b7cea2e36dc211
997,679523880,DimSense,https://github.com/Tinny-Robot/DimSense,Python,2023-08-17T03:30:48Z,12,12,6,2e58453e9f9ba8434abdfbf9fc141203c3f4c96b
1128,682099187,plotai,https://github.com/mljar/plotai,Python,2023-08-23T12:45:04Z,233,233,7,9d5afe5c01c405fedb57271b1836c9915ae5892a
1294,684485590,eztorch,https://github.com/juliendenize/eztorch,Python,2023-08-29T08:19:54Z,19,19,0,9e0746a39ca6b6a1caa7be5ce80c1a38cd850f94
1422,686838799,epubhv,https://github.com/yihong0618/epubhv,Python,2023-09-04T03:48:03Z,201,201,8,dce68bc689f9dc1ba5d88feceb6c600cc73d8249
1453,687084324,llm-cluster,https://github.com/simonw/llm-cluster,Python,2023-09-04T15:16:04Z,31,31,0,d2f93f1d17abd001454cecd8de21c75138053d7b
1496,689013903,NetExec,https://github.com/Pennyw0rth/NetExec,Python,2023-09-08T15:36:00Z,155,155,19,72e42e9b75c9885573eecfc3888252eb93dfba9d
1551,688506998,server,https://github.com/Vaultexe/server,Python,2023-09-07T13:42:43Z,15,15,0,893a80eebda021778b9fceec09da32d1e65d3033
